snp	chr	pos	phenotype
AY829805.1	scaffold_30	237686	Cysteine_proteinases
AY829838.1	scaffold_7	2999018	Cysteine_proteinases
AY829806.1	scaffold_32	2842745	Cysteine_proteinases
AY829737.1	scaffold_21	3625879	Defense_protein
AY829737.1	scaffold_21	3627239	Defense_protein
AY829840.1	scaffold_15	226444	Defense_protein
AY829840.1	scaffold_15	225569	Defense_protein
AY829840.1	scaffold_15	226025	Defense_protein
AY829840.1	scaffold_15	252141	Defense_protein
AY829840.1	scaffold_15	257835	Defense_protein
AY829840.1	scaffold_15	239048	Defense_protein
AY829848.1	scaffold_53	299052	Defense_protein
AY829807.1	scaffold_99	218527	Defense_protein
AY829807.1	scaffold_99	225723	Defense_protein
AY829822.1	scaffold_7	11454955	Lectins
AY829822.1	scaffold_7	11454955	Lectins
AY829822.1	scaffold_7	11453881	Lectins
AY829822.1	scaffold_7	11453881	Lectins
AY829822.1	scaffold_7	11451607	Lectins
AY829836.1	scaffold_7	11454955	Lectins
AY829836.1	scaffold_7	11451605	Lectins
AY829849.1	scaffold_1	1309048	Lectins
AY829849.1	scaffold_1	1308460	Lectins
AY829849.1	scaffold_1	1307673	Lectins
AY829846.1	scaffold_45	950851	Lectins
AY829833.1	scaffold_51	1901507	Lipocalins
AY829833.1	scaffold_51	1897923	Lipocalins
AY829856.1	scaffold_38	4643340	Lipocalins
AY829809.1	scaffold_51	1901507	Lipocalins
AY829809.1	scaffold_51	1897923	Lipocalins
AY829844.1	scaffold_87	825449	Serine_proteases
AY829844.1	scaffold_87	827532	Serine_proteases
AY829844.1	scaffold_87	830337	Serine_proteases
AY829818.2	scaffold_36	4150080	Serine_proteases
AY829818.2	scaffold_36	4136353	Serine_proteases
AY829819.1	scaffold_3	10667671	Serine_proteases
AY829819.1	scaffold_3	10668487	Serine_proteases
AY829819.1	scaffold_3	10671383	Serine_proteases
AY829819.1	scaffold_3	10670248	Serine_proteases
AY829820.2	scaffold_9	10067301	Serine_proteases
AY829820.2	scaffold_9	10069996	Serine_proteases
AY829820.2	scaffold_9	10066936	Serine_proteases
AY829820.2	scaffold_9	10070473	Serine_proteases
AY829820.2	scaffold_9	10068459	Serine_proteases
AY829821.1	scaffold_5	2422920	Serine_proteases
AY829821.1	scaffold_5	2410387	Serine_proteases
AY829842.1	scaffold_21	2118949	Serine_proteases
AY829843.2	scaffold_56	2712723	Serine_proteases
AY829843.2	scaffold_56	2740176	Serine_proteases
AY829841.1	scaffold_34	3811081	Serine_proteases
AY829841.1	scaffold_34	3812639	Serine_proteases
AY829841.1	scaffold_34	3767999	Serine_proteases
AY829841.1	scaffold_34	3814975	Serine_proteases
AY829841.1	scaffold_34	3772368	Serine_proteases
AY829841.1	scaffold_34	3813813	Serine_proteases
AY829841.1	scaffold_34	3768781	Serine_proteases
AY829841.1	scaffold_34	3808760	Serine_proteases
AY829841.1	scaffold_34	3765736	Serine_proteases
AY829814.1	scaffold_8	1868641	Serpins
AY829814.1	scaffold_8	1873378	Serpins
AY829814.1	scaffold_8	1870697	Serpins
AY829814.1	scaffold_8	1873953	Serpins
AY829814.1	scaffold_8	1867543	Serpins
AY829814.1	scaffold_8	1875965	Serpins
AY829814.1	scaffold_8	1864098	Serpins
AY829814.1	scaffold_8	1869676	Serpins
AY829815.1	scaffold_8	1868641	Serpins
AY829815.1	scaffold_8	1873378	Serpins
AY829815.1	scaffold_8	1870697	Serpins
AY829815.1	scaffold_8	1873953	Serpins
AY829815.1	scaffold_8	1867543	Serpins
AY829815.1	scaffold_8	1875965	Serpins
AY829815.1	scaffold_8	1864098	Serpins
AY829815.1	scaffold_8	1869676	Serpins
AY829816.1	scaffold_12	7399552	Serpins
AY829816.1	scaffold_12	7401949	Serpins
AY829816.1	scaffold_12	7402696	Serpins
AY829816.1	scaffold_12	7398566	Serpins
AY829816.1	scaffold_12	7400346	Serpins
AY829817.1	scaffold_12	7399552	Serpins
AY829817.1	scaffold_12	7401949	Serpins
AY829817.1	scaffold_12	7402696	Serpins
AY829817.1	scaffold_12	7400346	Serpins
AY829847.1	scaffold_15	6426857	Serpins
AY829847.1	scaffold_15	6426097	Serpins
AY829847.1	scaffold_15	6444642	Serpins
AY829811.1	scaffold_12	6894408	Other_protease_inhibitors
AY829811.1	scaffold_12	6897692	Other_protease_inhibitors
AY829811.1	scaffold_12	6898541	Other_protease_inhibitors
AY829811.1	scaffold_12	6895739	Other_protease_inhibitors
AY829811.1	scaffold_12	6896498	Other_protease_inhibitors
AY829812.1	scaffold_22	1857447	Other_protease_inhibitors
AY829813.1	scaffold_11	1443256	Other_protease_inhibitors
AY829813.1	scaffold_11	1447482	Other_protease_inhibitors
AY829835.1	scaffold_30	5552049	Other_protease_inhibitors
AY829837.1	scaffold_28	3955896	Other_protease_inhibitors
AY829837.1	scaffold_28	3949852	Other_protease_inhibitors
